# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_168	Nxph3 (+458)
peak_169	Ikzf3 (-243)
peak_170	Rapgefl1 (+565)
peak_171	Krtap31-2 (-4007)
peak_172	Naglu (-5872), Atp6v0a1 (+54688)
peak_173	Meox1 (-69804), Sost (+2837)
peak_174	Itgb3 (+470)
peak_175	Rgs9 (+153)
peak_176	Abca5 (+228)
peak_177	Map2k6 (-1469)
peak_178	Dnaic2 (+453)
peak_179	Trim80 (-4421)
peak_180	Dnah17 (-73093), Cyth1 (+10430)
peak_181	Uts2r (-3933)
peak_182	Ptchd3 (+105)
peak_183	Mfsd2b (-85)
peak_184	Fam84a (+1460), Nbas (+881461)
peak_185	2410004P03Rik (+276)
peak_186	Kcnf1 (+743)
peak_187	Cmpk2 (+238)
peak_188	Ferd3l (+264)
peak_189	Meox2 (-408)
peak_190	Scin (+801)
peak_191	Coch (+277)
peak_192	Egln3 (+873)
peak_193	Slc25a21 (-36420), Prps1l3 (-33349)
peak_194	Klhdc1 (+456)
peak_195	Cdkl1 (-269)
peak_196	Pygl (+869)
peak_197	Pygl (-118610), Trim9 (+1057)
peak_198	Rtn1 (+983)
peak_199	Prkch (-788)
peak_200	Syne2 (+1617), Esr2 (+357324)
peak_201	Sptb (+940)
peak_202	Smoc1 (-207)
peak_203	Slc8a3 (+846)
peak_204	Heatr4 (-3565), Acot2 (+556)
peak_205	Ltbp2 (+645)
peak_206	Dio2 (+925592)
peak_207	Tshr (+167)
peak_208	Kcnk10 (+3502), Gpr65 (+306173)
peak_209	Gpr68 (+9459), 9030617O03Rik (+119682)
peak_210	Tc2n (+274)
peak_211	Fbln5 (+123)
peak_212	Rin3 (-191)
peak_213	Hhipl1 (+457)
peak_214	Cyp46a1 (+222)
peak_215	Degs2 (-418)
peak_216	Begain (-1126)
peak_217	Zfp839 (+5095), Cinp (+33771)
peak_218	Gm266 (-260)
peak_219	Wdr60 (+39)
peak_220	Dnah11 (+304)
peak_221	Akr1e1 (+159)
peak_222	Adarb2 (+318)
peak_223	Actn2 (+285)
peak_224	Hecw1 (+684)
peak_225	Aoah (-702072), Elmo1 (+1422)
peak_226	Zkscan3 (-4927)
peak_227	Nkapl (+226)
peak_228	Zkscan4 (+198), Gm10065 (+336)
peak_229	Pom121l2 (-5284), Zfp184 (+31124)
peak_230	Btn1a1 (+371)
peak_231	Hfe (+69)
peak_232	Aldh5a1 (+449)
peak_233	Dcdc2a (-646)
peak_234	Nrsn1 (+378)
peak_235	Mboat1 (+284)
peak_236	Agtr1a (+299)
peak_237	Irf4 (+917)
peak_238	Nqo2 (+393)
peak_239	Pxdc1 (+877)
peak_240	Eci3 (-641)
peak_241	Mak (-8503), Gcm2 (+31211)
peak_242	Elovl2 (+519)
peak_243	Smim13 (+109386), Nedd9 (+128063)
peak_244	Cd83 (-83)
peak_245	Rnf144b (+71111)
peak_246	Ptpdc1 (+232)
peak_247	Susd3 (+435)
peak_248	Hrh2 (+302)
peak_249	Sncb (+335)
peak_250	Neurog1 (+656)
peak_251	Fbxl21 (+67)
peak_252	Fbp1 (+209)
peak_253	Cntnap3 (-24)
peak_254	Gm10139 (-160445), Zfp369 (+73419)
peak_255	Zfp455 (+133)
peak_256	Zfp458 (+337)
peak_257	Zfp456 (+366)
peak_258	Zfp65 (+559)
peak_259	Adcy2 (+102)
peak_260	Slc9a3 (-163)
peak_261	Rhobtb3 (+296)
peak_262	Mctp1 (-195095), Fam81b (-79507)
peak_263	Hapln1 (-717186), Edil3 (+1099)
peak_264	Acot12 (-109)
peak_265	Ankrd34b (+629)
peak_266	Thbs4 (+367)
peak_267	Bhmt2 (-107), Dmgdh (-24)
peak_268	Arsb (+359)
peak_269	Gcnt4 (+111)
peak_270	Cartpt (+118)
peak_271	Bdp1 (-4266), Serf1 (+324)
peak_272	Ocln (+464)
peak_273	Ccdc125 (-921)
peak_274	Fam159b (-79)
peak_275	Rnf180 (-1212)
peak_276	Cdc20b (-1403)
peak_277	Abhd6 (-392)
peak_278	Fam107a (-7855), Oit1 (+61122)
peak_279	4930452B06Rik (+650)
peak_280	Cfap70 (-259)
peak_281	Lrmda (+413)
peak_282	Dcp1a (-125942), Chdh (+344647)
peak_283	Dnah1 (-197)
peak_284	Zfp488 (+100)
peak_285	Grid1 (+450)
peak_286	Nrg3 (+219)
peak_287	Tspan14 (-13698), Fam213a (+65769)
peak_288	Gch1 (+985)
peak_289	Cmtm5 (-1285)
peak_290	Ctsg (-13168), Gzme (+4883)
peak_291	Gja3 (+377)
peak_292	Gjb2 (+70)
peak_293	Gjb6 (-267)
peak_294	Atp8a2 (+296)
peak_295	Fdft1 (+10837), Ctsb (+46279)
peak_296	Gata4 (-6147), Blk (+165619)
peak_297	Pdlim2 (-15072), Sorbs3 (+15746)
peak_298	Piwil2 (-204)
peak_299	Tnfsf11 (+303)
peak_300	Tbc1d4 (+694)
peak_301	Slitrk5 (+1274)
peak_302	Gpc5 (-47)
peak_303	Gpc6 (+1128)
peak_304	Cldn10 (-46)
peak_305	Osmr (+170)
peak_306	Egflam (-346)
peak_307	Rxfp3 (+1147), Slc45a2 (+36123)
peak_308	Pdzd2 (-145871), 6030458C11Rik (+86230)
peak_309	Dap (+1538), Ankrd33b (+141874)
