# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak_188	Pdcd1 (-175807)
peak_189	Pdcd1 (-208217)
peak_190	Pdcd1 (-342090)
peak_191	Fam174a (-74642)
peak_192	St8sia4 (-115925)
peak_193	St8sia4 (-573452)
peak_194	D1Ertd622e (+238536)
peak_195	D1Ertd622e (+149185)
peak_196	Ppip5k2 (-95160)
peak_197	Pam (-105690)
peak_198	Slco6d1 (-35864)
peak_199	Slco6d1 (+230200)
peak_200	Slco6d1 (+468560)
peak_201	Cntnap5b (+51402)
peak_202	Cntnap5b (+863558)
peak_203	NONE
peak_204	NONE
peak_205	NONE
peak_206	NONE
peak_207	NONE
peak_208	NONE
peak_209	NONE
peak_210	NONE
peak_211	NONE
peak_212	NONE
peak_213	Cdh20 (-550904)
peak_214	Cdh20 (-488447)
peak_215	Cdh20 (+200989)
peak_216	Pign (+95499)
peak_217	Phlpp1 (-52108)
peak_218	Serpinb3d (-36815)
peak_219	Serpinb8 (+233219)
peak_220	Serpinb8 (+291732)
peak_221	Serpinb8 (+336546)
peak_222	Serpinb8 (+826593)
peak_223	Cdh7 (-947955)
peak_224	Cdh7 (-915814)
peak_225	Cdh19 (-301222)
peak_226	Dsel (+283609)
peak_227	Dsel (+238773)
peak_228	Dsel (-355874)
peak_229	Dsel (-973640)
peak_230	NONE
peak_231	NONE
peak_232	NONE
peak_233	NONE
peak_234	Cntnap5a (-913748)
peak_235	Cntnap5a (-875534)
peak_236	Cntnap5a (+114797)
peak_237	Gm19965 (+59193)
peak_238	Gm19965 (+364180)
peak_239	Gm19965 (+401239)
peak_240	Gm28363 (-320470)
peak_241	Gm28363 (-262876)
peak_242	Gm28363 (-211439)
peak_243	Gm28363 (-109597)
peak_244	Gm28363 (-13455)
peak_245	Gm29106 (-103135)
peak_246	Gm29106 (-71793)
peak_247	Gm29106 (-48102)
peak_248	Tfcp2l1 (-39343)
peak_249	Tfcp2l1 (+197425)
peak_250	Ptpn4 (+93228)
peak_251	Insig2 (+333690)
peak_252	Ddx18 (-170116)
peak_253	Ddx18 (-518501)
peak_254	NONE
peak_255	Dpp10 (+188379)
peak_256	Actr3 (+513460)
peak_257	Actr3 (+463200)
peak_258	Lct (+23569)
peak_259	Cxcr4 (-181034)
peak_260	Thsd7b (+64073)
peak_261	Thsd7b (+163150)
peak_262	Cd55 (-28444)
peak_263	Zp3r (+29120)
peak_264	Rab7b (-8450)
peak_265	Slc45a3 (+7259)
peak_266	Tmcc2 (+30867)
peak_267	Plekha6 (-36546)
peak_268	Mgat4e (+19371)
peak_269	Ipo9 (-48691)
peak_270	Zfp281 (-35602)
peak_271	Nr5a2 (-389865)
peak_272	Atp6v1g3 (+38344)
peak_273	Lhx9 (+53378)
peak_274	Dennd1b (+159390)
peak_275	Cfhr1 (+13578)
peak_276	Cfhr1 (-27082)
peak_277	Cfhr1 (-89784)
peak_278	Cfhr1 (-109595)
peak_279	Gm4788 (+64595)
peak_280	Kcnt2 (+71882)
peak_281	Kcnt2 (+410485)
peak_282	Kcnt2 (+476796)
peak_283	Kcnt2 (+773362)
peak_284	Kcnt2 (+943649)
peak_285	NONE
peak_286	B3galt2 (-128574)
peak_287	Trove2 (+6219)
peak_288	Uchl5 (+84860)
peak_289	Rgs2 (+32636)
peak_290	Rgs1 (-71863)
peak_291	Rgs18 (-480062)
peak_292	Brinp3 (-669432)
peak_293	Brinp3 (-490346)
peak_294	Brinp3 (-470254)
peak_295	NONE
peak_296	NONE
peak_297	Pdc (-86604)
peak_298	Pdc (+18589)
peak_299	Rnf2 (-11384)
peak_300	Tsen15 (+144544)
peak_301	Lamc2 (+32612)
peak_302	BC034090 (+214)
peak_303	Tor1aip1 (-75570)
peak_304	Ralgps2 (+17289)
peak_305	Brinp2 (+24583)
peak_306	Pappa2 (+78697)
peak_307	Pappa2 (-63742)
peak_308	Tnn (+7604)
peak_309	Cacybp (-208485)
peak_310	Fasl (+61093)
peak_311	Pigc (-36912)
peak_312	Dnm3 (-11752)
peak_313	Fmo4 (-6228)
peak_314	Mettl11b (+14829)
peak_315	Kifap3 (-7676)
peak_316	Mettl18 (+24700)
peak_317	Xcl1 (-90688)
peak_318	Adcy10 (+41316)
peak_319	Mpzl1 (-33116)
peak_320	Dusp27 (+27159)
peak_321	Gm4846 (+22152)
peak_322	Fam78b (-88936)
peak_323	Fam78b (-61591)
peak_324	Uck2 (+88311)
peak_325	Lmx1a (-16530)
peak_326	Pbx1 (-197923)
peak_327	Pbx1 (-288675)
peak_328	Olfr16 (+20511)
peak_329	Ifi204 (-26794)
peak_330	Grem2 (-21004)
peak_331	Rgs7 (+146960)
peak_332	Cep170 (+259601)
peak_333	Gm16432 (-55477)
peak_334	Gm16432 (+19726)
peak_335	Kif26b (-25261)
peak_336	Smyd3 (+380972)
peak_337	Coq8a (+54311)
peak_338	Enah (-45814)
peak_339	Srp9 (+13037)
peak_340	Trp53bp2 (+52741)
peak_341	Susd4 (+50677)
peak_342	Tlr5 (+132485)
peak_343	Hlx (+98324)
peak_344	Rab3gap2 (+43591)
peak_345	Tgfb2 (+107157)
peak_346	D1Pas1 (+95367)
peak_347	Ptpn14 (-10732)
peak_348	Prox1 (-312633)
peak_349	Ppp2r5a (-14024)
peak_350	Kcnh1 (+253264)
peak_351	Hhat (+192753)
peak_352	Syt14 (-34218)
peak_353	Cd46 (+35315)
peak_354	Gm10097 (-157216)
peak_355	Rgs17 (-40981)
peak_356	Ulbp1 (-18608)
peak_357	Ust (+255210)
peak_358	Ust (+199071)
peak_359	Ust (-61968)
peak_360	Stxbp5 (-183921)
peak_361	Gm10944 (-13656)
peak_362	Grm1 (+107547)
peak_363	Epm2a (+187993)
peak_364	Epm2a (+212134)
peak_365	Utrn (+506399)
peak_366	Utrn (+48200)
peak_367	Pex3 (-52074)
peak_368	Nmbr (+627035)
peak_369	NONE
peak_370	NONE
peak_371	Cited2 (-902629)
peak_372	Cited2 (-585884)
peak_373	Cited2 (-579508)
peak_374	Pde7b (-101181)
peak_375	Myb (+83038)
peak_376	Sgk1 (-24401)
peak_377	Slc2a12 (-23649)
peak_378	Tcf21 (+16157)
peak_379	Tcf21 (-39187)
peak_380	Eya4 (-126021)
peak_381	Eya4 (-131163)
peak_382	Eya4 (-151049)
peak_383	Rps12 (+155865)
peak_384	Tmem200a (+135824)
peak_385	Lama2 (+256601)
peak_386	Ptprk (-33806)
peak_387	2310057J18Rik (+78506)
peak_388	2310057J18Rik (-44041)
peak_389	Rnf146 (-78906)
peak_390	Rspo3 (-238000)
peak_391	Rnf217 (-64252)
peak_392	Clvs2 (+132949)
peak_393	Clvs2 (+18819)
peak_394	Clvs2 (-18299)
peak_395	Sult3a2 (-35014)
peak_396	Frk (+436949)
peak_397	Amd2 (+189806)
peak_398	Hs3st5 (-370459)
peak_399	Hs3st5 (-230759)
peak_400	Marcks (-569596)
peak_401	Marcks (-796719)
peak_402	Marcks (-831790)
peak_403	Rfpl4b (+596965)
peak_404	Rfpl4b (+557169)
peak_405	Rfpl4b (-25071)
peak_406	Mfsd4b1 (+17525)
peak_407	Rpf2 (+34233)
peak_408	Gpr6 (+72672)
peak_409	Ccdc162 (+41063)
peak_410	Foxo3 (+25250)
peak_411	Ostm1 (+40600)
peak_412	Scml4 (+102190)
peak_413	Prdm1 (+49056)
peak_414	Prep (-161488)
peak_415	Lin28b (+23783)
peak_416	Hace1 (+261184)
peak_417	Hace1 (+786839)
peak_418	Hace1 (+802579)
peak_419	NONE
peak_420	NONE
peak_421	NONE
peak_422	NONE
peak_423	NONE
peak_424	Grik2 (+763280)
peak_425	Grik2 (+563786)
peak_426	Grik2 (-320553)
peak_427	Rfx6 (+66200)
peak_428	Vgll2 (-31189)
peak_429	Vgll2 (-23335)
peak_430	Nus1 (+104030)
peak_431	Slc35f1 (-41483)
peak_432	Slc35f1 (+260816)
peak_433	Msl3l2 (-602103)
peak_434	Msl3l2 (-75723)
peak_435	Hsf2 (-456870)
peak_436	Hsf2 (-266939)
peak_437	Fabp7 (-18637)
peak_438	Oit3 (-83050)
peak_439	Gm17455 (+140212)
peak_440	Unc5b (-31890)
peak_441	Npffr1 (-15309)
peak_442	Tacr2 (+33710)
peak_443	Ctnna3 (+205851)
peak_444	Gm10118 (+185663)
peak_445	Lrrtm3 (-695342)
peak_446	NONE
peak_447	NONE
peak_448	NONE
peak_449	Reep3 (+830014)
peak_450	Reep3 (+675435)
peak_451	Reep3 (+628052)
peak_452	Reep3 (+514633)
peak_453	Reep3 (+86596)
peak_454	A930033H14Rik (+16728)
peak_455	Rhobtb1 (+23288)
peak_456	Rhobtb1 (+57295)
peak_457	Mrln (+18213)
peak_458	Fam13c (+66115)
