# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 5000000 bp max extension, curated regulatory domains included
Anti-GFP.mLb.mkD.sorted_peak_1037	Crygc (-142)
Anti-GFP.mLb.mkD.sorted_peak_1044	Pth2r (+80)
Anti-GFP.mLb.mkD.sorted_peak_1051	Unc80 (+45)
Anti-GFP.mLb.mkD.sorted_peak_1070	Erbb4 (+1017)
Anti-GFP.mLb.mkD.sorted_peak_1073	Ikzf2 (-2042)
Anti-GFP.mLb.mkD.sorted_peak_1115	March4 (+1049)
Anti-GFP.mLb.mkD.sorted_peak_1137	Igfbp5 (+1787)
Anti-GFP.mLb.mkD.sorted_peak_1157	Tns1 (-215)
Anti-GFP.mLb.mkD.sorted_peak_1170	Catip (+6461)
Anti-GFP.mLb.mkD.sorted_peak_1181	Cyp27a1 (-252)
Anti-GFP.mLb.mkD.sorted_peak_1182	Prkag3 (-60)
Anti-GFP.mLb.mkD.sorted_peak_1184	Wnt6 (+554)
Anti-GFP.mLb.mkD.sorted_peak_1196	Cryba2 (+477)
Anti-GFP.mLb.mkD.sorted_peak_1203	Slc23a3 (+9102)
Anti-GFP.mLb.mkD.sorted_peak_1226	Des (-184)
Anti-GFP.mLb.mkD.sorted_peak_1227	Speg (-4945)
Anti-GFP.mLb.mkD.sorted_peak_1228	Speg (+490)
Anti-GFP.mLb.mkD.sorted_peak_1277	Epha4 (+948)
Anti-GFP.mLb.mkD.sorted_peak_1281	Pax3 (-20267)
Anti-GFP.mLb.mkD.sorted_peak_1284	Sgpp2 (+20)
Anti-GFP.mLb.mkD.sorted_peak_1287	BC035947 (+111)
Anti-GFP.mLb.mkD.sorted_peak_1306	Serpine2 (+111)
Anti-GFP.mLb.mkD.sorted_peak_1314	Dock10 (+516)
Anti-GFP.mLb.mkD.sorted_peak_1322	Irs1 (+1398)
Anti-GFP.mLb.mkD.sorted_peak_1324	Col4a3 (+71)
Anti-GFP.mLb.mkD.sorted_peak_1328	Tm4sf20 (-2449)
