# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak_187	5530401A14Rik (-247314)
peak_188	Tmem132e (+46040)
peak_189	Tmem132e (+56181)
peak_190	Lhx1 (-117292)
peak_191	Mrm1 (+38593)
peak_192	Usp32 (+28463)
peak_193	Bcas3 (+39718)
peak_194	Tex14 (+40703)
peak_195	Hsf5 (+22175)
peak_196	Mpo (+8757)
peak_197	Dynll2 (+20315)
peak_198	Msi2 (+21692)
peak_199	Akap1 (+61353)
peak_200	Akap1 (-8941)
peak_201	Gm525 (+113735)
peak_202	Tob1 (-64267)
peak_203	Phb (-21873)
peak_204	Hoxb9 (-10396)
peak_205	Skap1 (-16828)
peak_206	Osbpl7 (+14955)
peak_207	Srcin1 (-14623)
peak_208	Grb7 (+11662)
peak_209	Hap1 (-7108)
peak_210	Zfp385c (-22966)
peak_211	Cavin1 (+12256)
peak_212	Tubg2 (-11951)
peak_213	Rdm1 (+18270)
peak_214	Asb16 (+7879)
peak_215	Gm11627 (+5858)
peak_216	Fzd2 (+28682)
peak_217	Arf2 (+63147)
peak_218	Crhr1 (-59861)
peak_219	Myl4 (+7238)
peak_220	Kpna2 (-19622)
peak_221	Pitpnc1 (+88043)
peak_222	Rgs9 (+53249)
peak_223	Rgs9 (+8298)
peak_224	1700012B07Rik (-32416)
peak_225	Map2k6 (+49528)
peak_226	Slc39a11 (+364454)
peak_227	Grin2c (+9013)
peak_228	Smim5 (-15363)
peak_229	Exoc7 (-13099)
peak_230	Gm11733 (-89314)
peak_231	Gm11733 (-58348)
peak_232	Gm11733 (+39273)
peak_233	Tnrc6c (-58803)
peak_234	Tmc6 (+19477)
peak_235	Cbx2 (-15140)
peak_236	Ccdc57 (+30219)
peak_237	Rab10 (+48283)
peak_238	Kif3c (-7399)
peak_239	Pomc (+28031)
peak_240	Itsn2 (-50899)
peak_241	Apob (-117349)
peak_242	Fam49a (+62109)
peak_243	Mycn (+131092)
peak_244	Odc1 (+12762)
peak_245	Id2 (+13147)
peak_246	Myt1l (-237497)
peak_247	Tpo (+29569)
peak_248	Fam110c (+38396)
peak_249	Cdhr3 (+63536)
peak_250	Cdhr3 (-26458)
peak_251	Lrrn3 (-79715)
peak_252	Gm43517 (+16084)
peak_253	Akap6 (-95088)
peak_254	Egln3 (-113077)
peak_255	Ppp2r3c (-18817)
peak_256	Pax9 (-10360)
peak_257	Prps1l3 (-19511)
peak_258	Ttc6 (+390)
peak_259	Fbxo33 (-104837)
peak_260	Rps29 (+28253)
peak_261	Frmd6 (-41209)
peak_262	Rtn1 (+105204)
peak_263	Tmem30b (+28712)
peak_264	Gm11042 (+31919)
peak_265	Gm11042 (-573)
peak_266	Esr2 (+171879)
peak_267	Esr2 (+24669)
peak_268	Erh (+17100)
peak_269	Ccdc177 (+29737)
peak_270	Abcd4 (-8446)
peak_271	Zc2hc1c (+7992)
peak_272	Gpatch2l (+63752)
peak_273	Kcnk13 (+8302)
peak_274	Calm1 (-8251)
peak_275	Tc2n (-17557)
peak_276	Lgmn (+50131)
peak_277	Glrx5 (+30713)
peak_278	Papola (+92527)
peak_279	Vrk1 (-67724)
peak_280	Vrk1 (+108233)
peak_281	Wdr25 (+66130)
peak_282	Dio3 (+41125)
peak_283	Macc1 (-39950)
peak_284	Chrm3 (-502419)
peak_285	Inhba (-252209)
peak_286	Stard3nl (+130300)
peak_287	Stard3nl (-43324)
peak_288	Trim27 (+36722)
peak_289	Trim27 (+54945)
peak_290	Gpx6 (+13372)
peak_291	Hist1h2br (+49569)
peak_292	Hist1h2bj (+7786)
peak_293	Vmn1r205 (+9090)
peak_294	Vmn1r223 (+21309)
peak_295	Vmn1r223 (+36769)
peak_296	Vmn1r223 (+50588)
peak_297	Zfp322a (+59179)
peak_298	Zfp322a (+51410)
peak_299	Abt1 (+22887)
peak_300	Gm5447 (+11529)
peak_301	Fam50b (+7291)
peak_302	Ly86 (+169238)
peak_303	Gcm2 (+18467)
peak_304	Gmpr (-13392)
peak_305	Gmpr (+9322)
peak_306	Id4 (-33801)
peak_307	S1pr3 (-7559)
peak_308	Shc3 (-28385)
peak_309	Unc5a (-36963)
peak_310	Hk3 (+8521)
