# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_117	Dusp6 (+90598), Csl (+405829)
peak_118	Tmtc2 (-226227), Ccdc59 (-40405)
peak_119	Tmtc2 (-244068), Ccdc59 (-22564)
peak_120	Nap1l1 (-144451), Bbs10 (+37487)
peak_121	Krr1 (-190130), Phlda1 (+276248)
peak_122	Frs2 (-26199), Yeats4 (+49798)
peak_123	Cpm (-238246), Cpsf6 (-14281)
peak_124	Cpsf6 (-194601), Cpm (-57926)
peak_125	Cpm (+33500), Mdm2 (+47758)
peak_126	Mdm2 (+27116), Cpm (+54142)
peak_127	Rap1b (-283113), Mdm1 (-12711)
peak_128	Hmga2 (-76150), Msrb3 (+346482)
peak_129	Hmga2 (-231634), Msrb3 (+190998)
peak_130	Tbc1d30 (+83006), Wif1 (+194223)
peak_131	Rassf3 (-30651), Tbk1 (+79789)
peak_132	Rassf3 (-40137), Tbk1 (+70303)
peak_133	Xpot (-66882), BC048403 (-46739)
peak_134	Apof (-6123), Apon (+8398)
peak_135	Vmn2r86 (-14841), Vmn2r87 (+26644)
peak_136	Smtn (-90120), Morc2a (-20135)
peak_137	Morc2a (+56126), Osbp2 (+158283)
peak_138	Osbp2 (+101864), Morc2a (+112545)
peak_139	Znrf3 (-61524), Xbp1 (-14288)
peak_140	Mrps24 (-9201), Urgcp (+24262)
peak_141	Ykt6 (+51961), Camk2b (+58094)
peak_142	NONE
peak_143	Meis1 (-792946), Spred2 (-112527)
peak_144	Meis1 (-809834), Spred2 (-95639)
peak_145	Slc1a4 (-122927), Sertad2 (-87694)
peak_146	Slc1a4 (-144595), Sertad2 (-66026)
peak_147	Aftph (+78759), Sertad2 (+105514)
peak_148	Xpo1 (-130953), Fam161a (+116660)
peak_149	Bcl11a (+227643)
peak_150	Ccdc85a (+218623)
peak_151	Chac2 (-30711), Gm17332 (+165401)
peak_152	Chac2 (-183602), Gm17332 (+12510)
peak_153	4930524B15Rik (-16161), Cpeb4 (+77220)
peak_154	Smim23 (-101332), Fgf18 (+221463)
