geneid	name2
ENSMUST00000131556	Arfgef1
ENSMUST00000027056	Prex2
ENSMUST00000177608	Sulf1
ENSMUST00000180062	Sulf1
ENSMUST00000186051	Sulf1
ENSMUST00000088585	Sulf1
ENSMUST00000188454	Slco5a1
ENSMUST00000115403	Slco5a1
ENSMUST00000115402	Slco5a1
ENSMUST00000136197	Slco5a1
ENSMUST00000146763	Slco5a1
ENSMUST00000147606	Slco5a1
ENSMUST00000081713	Ncoa2
ENSMUST00000068304	Ncoa2
ENSMUST00000006037	Ncoa2
ENSMUST00000027066	Eya1
ENSMUST00000168081	Eya1
ENSMUST00000080664	Eya1
ENSMUST00000190337	Eya1
ENSMUST00000175681	Kcnb2
ENSMUST00000170146	Kcnb2
ENSMUST00000040695	Sbspon
ENSMUST00000027053	Rdh10
ENSMUST00000162751	Stau2
ENSMUST00000054668	Stau2
ENSMUST00000162627	Stau2
ENSMUST00000027052	Stau2
ENSMUST00000162435	Stau2
ENSMUST00000159558	Stau2
ENSMUST00000128957	Stau2
ENSMUST00000131257	Stau2
ENSMUST00000162007	Stau2
ENSMUST00000149320	Stau2
ENSMUST00000115359	Stau2
ENSMUST00000145092	Stau2
ENSMUST00000144138	Stau2
ENSMUST00000188641	Eloc
ENSMUST00000115352	Eloc
ENSMUST00000186948	Eloc
ENSMUST00000187910	Eloc
ENSMUST00000185771	Eloc
ENSMUST00000186604	Gm28376
ENSMUST00000038382	Jph1
ENSMUST00000187817	Gm28784
ENSMUST00000155588	Gm16070
ENSMUST00000127328	Gm16070
ENSMUST00000037294	Tfap2d
ENSMUST00000088448	Pkhd1
ENSMUST00000029667	Kcnq5
ENSMUST00000115300	Kcnq5
ENSMUST00000173058	Kcnq5
ENSMUST00000173404	Kcnq5
ENSMUST00000081544	Rims1
ENSMUST00000097809	Rims1
ENSMUST00000097810	Rims1
ENSMUST00000097811	Rims1
ENSMUST00000115273	Rims1
ENSMUST00000218140	Rims1
ENSMUST00000191140	Gm28822
ENSMUST00000027339	Smap1
ENSMUST00000129254	Smap1
ENSMUST00000054588	Col9a1
ENSMUST00000088349	Col9a1
ENSMUST00000115244	Col19a1
ENSMUST00000051344	Col19a1
ENSMUST00000192367	Gm37331
ENSMUST00000194644	Gm37628
ENSMUST00000233331	4931428L18Rik
ENSMUST00000187892	4931428L18Rik
ENSMUST00000062560	Lgsn
ENSMUST00000189878	Khdrbs2
ENSMUST00000188257	Khdrbs2
ENSMUST00000185666	Khdrbs2
ENSMUST00000183034	Dst
ENSMUST00000182697	Dst
ENSMUST00000182314	Dst
ENSMUST00000097786	Dst
ENSMUST00000115104	Dst
ENSMUST00000097785	Dst
ENSMUST00000185269	Dst
ENSMUST00000027302	Ptpn18
ENSMUST00000185218	Gm28417
ENSMUST00000185881	Gm28417
ENSMUST00000159747	Arhgef4
ENSMUST00000156687	Plekhb2
ENSMUST00000027297	Plekhb2
ENSMUST00000046875	Uggt1
ENSMUST00000125304	Lman2l
ENSMUST00000115011	Lman2l
ENSMUST00000170295	Fam178b
ENSMUST00000027290	Tmem131
ENSMUST00000194563	Tmem131
ENSMUST00000238500	Vwa3b
ENSMUST00000194195	Cnga3
ENSMUST00000195272	Cnga3
ENSMUST00000027288	Cnga3
ENSMUST00000027287	Inpp4a
ENSMUST00000140264	Inpp4a
ENSMUST00000132401	Inpp4a
